replicaID,rpID,appID,funcID,busyTime,upTime,reqsProcessed,lastWorkTS,shutdownTS
2024-08-09 17:12:20.5876856 -0300 -03 m=+140.651818801,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1020.6669999999999,0,7,1117453.2549660201,0
2024-08-09 17:12:20.5876856 -0300 -03 m=+140.651818801,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,458.777,0,4,1116851.96570396,0
2024-08-09 17:12:20.5876856 -0300 -03 m=+140.651818801,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,261.152,0,3,1116652.30593491,0
2024-08-09 17:12:20.5886819 -0300 -03 m=+140.652815101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,273.688,0,3,1116697.864501,0
2024-08-09 17:12:20.5886819 -0300 -03 m=+140.652815101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,284.776,0,3,1116677.86610699,0
2024-08-09 17:12:20.5886819 -0300 -03 m=+140.652815101,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,316.054,0,5,1116710.3845710799,0
2024-08-09 17:12:20.5896793 -0300 -03 m=+140.653812501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,310.092,0,4,1116703.67520404,0
2024-08-09 17:12:20.5896793 -0300 -03 m=+140.653812501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,946.2660000000001,0,14,1117581.08973908,0
2024-08-09 17:12:20.5896793 -0300 -03 m=+140.653812501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1127.2549999999999,0,15,1117597.75197792,0
2024-08-09 17:12:20.5906766 -0300 -03 m=+140.654809701,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,288.08000000000004,0,3,1116702.87493706,0
2024-08-09 17:12:20.5906766 -0300 -03 m=+140.654809701,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,311.58299999999997,0,5,1116707.71289706,0
2024-08-09 17:12:20.5916693 -0300 -03 m=+140.655802401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,726.723,0,8,1117190.20391107,0
2024-08-09 17:12:20.5916693 -0300 -03 m=+140.655802401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,847.276,0,12,1117494.63688898,0
2024-08-09 17:12:20.5916693 -0300 -03 m=+140.655802401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,683.6660000000002,0,8,1117093.61500597,0
2024-08-09 17:12:20.5916693 -0300 -03 m=+140.655802401,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,314.59000000000003,0,2,1116710.7583949598,0
2024-08-09 17:12:20.5926665 -0300 -03 m=+140.656799601,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,902.351,0,12,1117494.74788404,0
2024-08-09 17:12:20.5926665 -0300 -03 m=+140.656799601,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,297.199,0,4,1116694.63667703,0
2024-08-09 17:12:20.5946638 -0300 -03 m=+140.658796901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,310.774,0,4,1116710.5609951,0
2024-08-09 17:12:20.5946638 -0300 -03 m=+140.658796901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,686.431,0,6,1117093.96427703,0
2024-08-09 17:12:20.5946638 -0300 -03 m=+140.658796901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1117.304,0,20,1117559.31394005,0
2024-08-09 17:12:20.5946638 -0300 -03 m=+140.658796901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,280.929,0,2,1116679.15820599,0
2024-08-09 17:12:20.5956354 -0300 -03 m=+140.659768501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,240.63400000000001,0,4,1116701.42781496,0
2024-08-09 17:12:20.5956354 -0300 -03 m=+140.659768501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,281.301,0,5,1116705.70159411,0
2024-08-09 17:12:20.5956354 -0300 -03 m=+140.659768501,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,978.041,0,19,1117600.2258009901,0
2024-08-09 17:12:20.5966328 -0300 -03 m=+140.660765901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,448.495,0,7,1116848.48751807,0
2024-08-09 17:12:20.5966328 -0300 -03 m=+140.660765901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,1261.8849999999998,0,16,1117709.35633707,0
2024-08-09 17:12:20.5966328 -0300 -03 m=+140.660765901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,265.49199999999996,0,4,1116666.442173,0
2024-08-09 17:12:20.5966328 -0300 -03 m=+140.660765901,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,665.707,0,7,1117092.79500294,0
2024-08-09 17:12:20.5976299 -0300 -03 m=+140.661763001,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9-4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,85effaac4d59e8d2b8cce94be2794ccae809b5ee04701003a3475bcef198a7c9,4ce7573ec82ce8a37bc9e2a3f45343b2fccf86faa0a8d1507b59424ca1948aa9,288.827,0,4,1116692.36718297,0
